edad,incumplimiento_pagos,tiene_hipoteca,tiene_prestamo,duracion_ultima_llamada,contacos_con_cliente,dias_desde_ultimo_contacto,contactos_pre_campaña,tasa_variacion_empleo,IPC,respuesta_campaña,fecha_intereaccion,ingresos,hijos_pequeños,hijos_adolescentes,fecha_inicio_cliente,visitas_web_mes,total_hijos,nivel_educativo,estado_civil
,0,0,0,261,1,999,0,1.1,93.994,no,2019-08-02,161770,1,0,2012-04-04,29,1,Primaria,Casado
57,,0,0,149,1,999,0,1.1,93.994,no,2016-09-14,85477,1,1,2012-12-30,7,2,Instituto,Casado
37,0,1,0,226,1,999,0,1.1,93.994,no,2019-02-15,147233,1,1,2012-02-02,5,2,Instituto,Casado
40,0,0,0,151,1,999,0,1.1,93.994,no,2015-11-29,121393,1,2,2012-12-21,29,3,Primaria,Casado
56,0,0,1,307,1,999,0,1.1,93.994,no,2017-01-29,63164,1,2,2012-06-20,20,3,Instituto,Casado
45,,0,0,198,1,999,0,1.1,93.994,no,2015-09-26,143854,0,1,2012-01-24,26,1,Primaria,Casado
59,0,0,0,139,1,999,0,1.1,93.994,no,2019-01-25,76439,1,0,2012-08-15,3,1,Formación profesional,Casado
,,0,0,217,1,999,0,1.1,93.994,no,2017-09-25,159686,1,1,2012-12-10,21,2,,Casado
24,0,1,0,380,1,999,0,1.1,93.994,no,2018-01-18,179933,0,0,2012-08-22,18,0,Formación profesional,Soltero
25,0,1,0,50,1,999,0,1.1,93.994,no,2016-11-02,77504,1,0,2012-02-09,18,1,Instituto,Soltero
41,,0,0,55,1,999,0,1.1,93.994,no,2015-11-30,92882,1,1,2012-01-05,9,2,,Casado
25,0,1,0,222,1,999,0,1.1,93.994,no,2016-04-17,84813,0,1,2012-06-06,30,1,Instituto,Soltero
29,0,0,1,137,1,999,0,1.1,93.994,no,2016-06-14,102006,0,1,2012-03-24,18,1,Instituto,Soltero
57,0,1,0,293,1,999,0,1.1,93.994,no,2015-08-25,140801,2,1,2012-02-11,32,3,Primaria,Divorciado
35,0,1,0,146,1,999,0,1.1,93.994,no,2016-09-19,73262,2,2,2012-09-10,27,4,Primaria,Casado
54,,1,1,174,1,999,0,1.1,93.994,no,2016-01-03,117422,1,2,2012-04-05,15,3,Primaria,Casado
35,0,1,0,312,1,999,0,1.1,93.994,no,2018-02-28,70235,1,1,2012-03-11,27,2,Primaria,Casado
,,1,1,440,1,999,0,1.1,93.994,no,2019-03-29,106688,1,1,2012-01-22,5,2,Primaria,Casado
50,0,1,1,353,1,999,0,1.1,93.994,no,2018-10-25,99745,2,2,2012-12-11,20,4,Primaria,Casado
39,,0,0,195,1,999,0,1.1,93.994,no,2017-07-01,173275,2,0,2012-04-17,26,2,Primaria,Soltero
30,0,0,0,38,1,999,0,1.1,93.994,no,2017-04-20,32331,1,2,2012-02-27,28,3,Instituto,Casado
55,,1,0,262,1,999,0,1.1,93.994,no,2016-08-11,158116,0,2,2012-10-08,21,2,Primaria,Casado
55,0,1,0,342,1,999,0,1.1,93.994,no,2019-12-24,38474,0,0,2012-03-20,2,0,Instituto,Soltero
,0,1,0,181,1,999,0,1.1,93.994,no,2015-06-10,179682,2,0,2012-09-26,17,2,Instituto,Soltero
37,0,1,0,172,1,999,0,1.1,93.994,no,2017-05-19,49728,1,2,2012-02-07,12,3,Instituto,Casado
35,0,0,1,99,1,999,0,1.1,93.994,no,2018-03-19,176324,1,0,2012-04-04,1,1,Grado Universitario,Casado
,0,1,0,93,1,999,0,1.1,93.994,no,2016-09-25,104766,0,2,2012-12-19,32,2,,Casado
39,,0,0,233,1,999,0,1.1,93.994,no,2016-11-23,118851,0,2,2012-02-08,30,2,Primaria,Casado
54,,0,0,255,2,999,0,1.1,93.994,no,2016-12-05,54609,1,1,2012-01-08,25,2,Grado Universitario,Soltero
55,,,,362,1,999,0,1.1,93.994,no,2015-07-01,75488,1,1,2012-08-30,26,2,Grado Universitario,Casado
